epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,1442.96,0.99722,0.56113,1.05495,0.81316,0.63007,0.72222,0.45901,1.08675,0.65672,1.17874,0.000297232,0.000297232,0.000297232
122,1455.13,0.98271,0.54537,1.03793,0.75307,0.66856,0.72265,0.46008,1.08328,0.64038,1.18198,0.000287801,0.000287801,0.000287801
123,1467.22,0.97543,0.53649,1.0454,0.85293,0.62848,0.69727,0.43309,1.09169,0.66619,1.18917,0.000278369,0.000278369,0.000278369
124,1479.75,0.98946,0.55148,1.03415,0.82008,0.62756,0.69724,0.43591,1.09725,0.65644,1.19227,0.000268938,0.000268938,0.000268938
125,1491.96,1.00431,0.55778,1.05214,0.81222,0.64063,0.71491,0.44324,1.10562,0.6684,1.20085,0.000259506,0.000259506,0.000259506
126,1504.04,0.97719,0.53962,1.03921,0.7803,0.62644,0.69866,0.44935,1.07351,0.63993,1.17347,0.000250075,0.000250075,0.000250075
127,1516.36,0.98243,0.54768,1.03548,0.85151,0.64412,0.70453,0.44163,1.10091,0.64242,1.19646,0.000240644,0.000240644,0.000240644
128,1529.06,0.9603,0.53067,1.03671,0.82364,0.64098,0.70814,0.44181,1.08829,0.6383,1.19544,0.000231212,0.000231212,0.000231212
129,1541.72,0.96036,0.52895,1.03427,0.81539,0.65477,0.70281,0.43929,1.09974,0.649,1.19129,0.000221781,0.000221781,0.000221781
130,1553.84,0.96262,0.52655,1.03593,0.80399,0.65545,0.7164,0.44835,1.08992,0.65455,1.18587,0.000212349,0.000212349,0.000212349
131,1565.9,0.97812,0.53483,1.02502,0.76027,0.66208,0.70645,0.45214,1.08174,0.65274,1.17909,0.000202918,0.000202918,0.000202918
132,1577.87,0.97269,0.5324,1.03451,0.78099,0.65996,0.71886,0.45585,1.09911,0.64206,1.19209,0.000193487,0.000193487,0.000193487
133,1590.24,0.95776,0.53093,1.0326,0.75916,0.65493,0.70699,0.44058,1.09383,0.6402,1.19101,0.000184055,0.000184055,0.000184055
134,1602.05,0.96274,0.53273,1.02882,0.7893,0.63837,0.70975,0.4462,1.07117,0.64072,1.17378,0.000174624,0.000174624,0.000174624
135,1613.49,0.96624,0.53079,1.03825,0.7799,0.66272,0.70215,0.4363,1.09008,0.63886,1.18572,0.000165192,0.000165192,0.000165192
136,1624.94,0.95007,0.53139,1.03627,0.76411,0.66466,0.70386,0.44746,1.08919,0.65588,1.17466,0.000155761,0.000155761,0.000155761
137,1636.42,0.96346,0.52932,1.02843,0.85313,0.62553,0.70415,0.44329,1.07317,0.63898,1.16723,0.00014633,0.00014633,0.00014633
138,1647.92,0.94503,0.5196,1.03496,0.83632,0.63238,0.69967,0.4474,1.07983,0.6324,1.17149,0.000136898,0.000136898,0.000136898
139,1659.98,0.93767,0.51442,1.0288,0.84871,0.65028,0.71204,0.45095,1.08519,0.64438,1.17908,0.000127467,0.000127467,0.000127467
140,1671.65,0.95728,0.5152,1.02467,0.79243,0.64979,0.71502,0.45661,1.09374,0.62835,1.1871,0.000118035,0.000118035,0.000118035
141,1719.19,0.91931,0.48339,1.01372,0.81128,0.66357,0.70848,0.44569,1.08283,0.63765,1.1825,0.000108604,0.000108604,0.000108604
142,1728.14,0.91384,0.47618,1.01629,0.78094,0.65267,0.70469,0.44405,1.07649,0.64993,1.17986,9.91726e-05,9.91726e-05,9.91726e-05
143,1738.55,0.89946,0.46756,1.01028,0.76562,0.63186,0.70517,0.44625,1.09299,0.64741,1.1902,8.97412e-05,8.97412e-05,8.97412e-05
144,1749.55,0.88661,0.46094,1.01101,0.76183,0.63292,0.7022,0.44205,1.09269,0.64423,1.18489,8.03098e-05,8.03098e-05,8.03098e-05
145,1760.08,0.89322,0.46527,1.0125,0.69887,0.70635,0.70174,0.44352,1.07832,0.63728,1.18086,7.08784e-05,7.08784e-05,7.08784e-05
146,1770.98,0.89189,0.46545,1.00252,0.806,0.59755,0.6985,0.43938,1.07653,0.6393,1.17832,6.1447e-05,6.1447e-05,6.1447e-05
147,1781.73,0.9017,0.46639,1.01262,0.87228,0.58647,0.69761,0.44113,1.0822,0.64079,1.18047,5.20156e-05,5.20156e-05,5.20156e-05
148,1793.14,0.89469,0.4585,0.99605,0.76304,0.65286,0.69924,0.44134,1.07495,0.63508,1.17665,4.25842e-05,4.25842e-05,4.25842e-05
149,1805.15,0.89478,0.46519,1.01335,0.7527,0.65286,0.70376,0.44979,1.07428,0.63127,1.17601,3.31528e-05,3.31528e-05,3.31528e-05
150,1818.64,0.88266,0.46067,1.01066,0.76213,0.63531,0.70283,0.44914,1.07669,0.6287,1.17802,2.37214e-05,2.37214e-05,2.37214e-05
